2026-02-12 08:50:51,759 | INFO | main | Starting API...
2026-02-12 08:50:51,759 | INFO | ModelRegistry | Preloading PaddleOCR model into GPU memory...
2026-02-12 08:50:52,058 | INFO | DocProcessorEngine | Loading PPStructureV3 model
2026-02-12 08:51:34,044 | INFO | ModelRegistry | PaddleOCR model loaded
2026-02-12 08:51:34,046 | INFO | main | Output directory ready at ./outputs
2026-02-12 15:26:16,214 | INFO | main | Starting API...
2026-02-12 15:26:16,214 | INFO | ModelRegistry | Preloading PaddleOCR model into GPU memory...
2026-02-12 15:26:16,574 | INFO | DocProcessorEngine | Loading PPStructureV3 model
2026-02-12 15:27:02,400 | INFO | ModelRegistry | PaddleOCR model loaded
2026-02-12 15:27:02,400 | INFO | main | Output directory ready at /outputs
2026-02-12 15:31:58,705 | INFO | main | Starting API...
2026-02-12 15:31:58,705 | INFO | ModelRegistry | Preloading PaddleOCR model into GPU memory...
2026-02-12 15:31:59,039 | INFO | DocProcessorEngine | Loading PPStructureV3 model
2026-02-12 15:32:44,323 | INFO | ModelRegistry | PaddleOCR model loaded
2026-02-12 15:32:44,323 | INFO | main | Output directory ready at /outputs
